Category,Title,Description
Refugee programs,Provision of Australian Cultural Orientation (AUSCO) Services for Humanitarian Integration and Settlement Program (HISP),The Department of Home Affairs is seeking Australian Cultural Orientation (AUSCO) program services for the Humanitarian ...
Education and Training Services,RFT for Collective and Individual Training Support Services (CITSS),Collective and Individual Training Support Services (CITSS) Standing Offer Panel
Components for information technology or broadcasting or telecommunications,Enterprise Resource Planning (ERP) Products and Service Solutions,The DTA is inviting all ERP providers to apply for Category 3 Enterprise Resource Planning Products and Service Solution...
Education and Training Services,Navigation and Synthetic Warfare Training Services,Navigation and Synthetic Warfare Training Services
Environmental safety services,Request for Information for Industry Technical Capability in Nuclear Regulation,Request for Information for Industry Technical Capability in Nuclear Regulation
Military services and national defence,Support to Space Domain Awareness (SDA) Capabilities,"Advance notice - invitation to register to Support SDA Capabilities at Exmouth ,WA and Edinburgh, SA"
Reconnaissance or surveillance aircraft,Pacific Maritime Security Program Acquisition of Enhanced Aerial Surveilliance Services (Fixed-Wing),PMSP Acquisition of Enhanced Aerial Surveillance Services (Fixed-Wing)
Emergency and field medical services products,Defence Search and Rescue Services Contract,Notice to industry regarding the upcoming Defence Search and Rescue Services (DSARS) RFT
Passenger air transportation,ATM 24/3610 Antarctic Helicopter Services,Antarctic Aviation Helicopter Services
Measuring and observing and testing instruments,Demo ATM to test eLodgement and Download,Demo ATM to test eLodgement and Download
Physical and occupational therapy and rehabilitation products,Supply of Medical Grade Footwear to eligible persons,NOTE: existing suppliers need not reapply The Medical Grade Footwear (MGF) Programme is an important part of DVA’s healt...
Comprehensive health services,Invitation to provide Day Procedure Centre Services to the Veteran Community,The Department of Veterans’ Affairs (DVA) is seeking to contract with eligible stand-alone private day hospitals (referr...
Comprehensive health services,Private Hospital Services,DVA is seeking the provision of Private Hospital services for Entitled Persons by publishing this Invitation to Provide ...
Comprehensive health services,Department of Veterans' Affairs Community Nursing Services Invitation,Department of Veterans' Affairs invites interested suppliers of Community Nursing Services to apply to provide these ser...
